epochSeconds,market,symbol,stepChange,minDrop,maxJump,normalizedPricePT40M,changePT6H,rsiPT30M
1660968000,binance,DGBUSDT,0.0000,0.00,0.00,0.00,0.00,0.00
1660968060,binance,DGBUSDT,0.0028,0.00,0.00,6.17,0.00,0.00
1660968120,binance,DGBUSDT,0.0000,0.00,0.00,4.30,0.00,0.00
1660968180,binance,DGBUSDT,0.0000,0.00,0.00,3.47,0.00,0.00
1660968240,binance,DGBUSDT,0.0000,0.00,0.00,2.96,0.00,0.00
1660968300,binance,DGBUSDT,0.0019,0.00,0.00,3.90,0.00,0.00
1660968360,binance,DGBUSDT,-0.0019,-0.00,0.00,2.02,0.00,0.56
1660968420,binance,DGBUSDT,0.0019,-0.00,0.00,3.07,0.00,0.54
1660968480,binance,DGBUSDT,0.0000,-0.00,0.00,2.69,0.00,0.54
1660968540,binance,DGBUSDT,0.0000,-0.00,0.00,2.41,0.00,0.54
1660968600,binance,DGBUSDT,0.0000,-0.00,0.00,2.19,0.00,0.54
1660968660,binance,DGBUSDT,0.0000,-0.00,0.00,2.01,0.00,0.54
1660968720,binance,DGBUSDT,0.0000,-0.00,0.00,1.87,0.00,0.54
1660968780,binance,DGBUSDT,-0.0009,-0.00,0.00,1.30,0.00,0.61
1660968840,binance,DGBUSDT,0.0000,-0.00,0.00,1.23,0.00,0.61
1660968900,binance,DGBUSDT,0.0000,-0.00,0.00,1.17,0.00,0.61
1660968960,binance,DGBUSDT,0.0000,-0.00,0.00,1.11,0.00,0.61
1660969020,binance,DGBUSDT,-0.0019,-0.00,0.00,0.14,0.00,0.58
1660969080,binance,DGBUSDT,0.0000,-0.00,0.00,0.12,0.00,0.58
1660969140,binance,DGBUSDT,-0.0009,-0.00,0.00,-0.37,0.00,0.61
1660969200,binance,DGBUSDT,0.0000,-0.00,0.00,-0.39,0.00,0.61
1660969260,binance,DGBUSDT,0.0000,-0.00,0.00,-0.41,0.00,0.61
1660969320,binance,DGBUSDT,-0.0009,-0.00,0.00,-0.90,0.00,0.63
1660969380,binance,DGBUSDT,0.0000,-0.00,0.00,-0.90,0.00,0.63
1660969440,binance,DGBUSDT,-0.0009,-0.01,0.00,-1.36,-0.00,0.64
1660969500,binance,DGBUSDT,0.0000,-0.01,0.00,-1.33,-0.00,0.64
1660969560,binance,DGBUSDT,0.0009,-0.01,0.00,-0.85,0.00,0.60
1660969620,binance,DGBUSDT,-0.0019,-0.01,0.00,-1.72,-0.00,0.58
1660969680,binance,DGBUSDT,-0.0009,-0.01,0.00,-2.05,-0.00,0.59
1660969740,binance,DGBUSDT,0.0000,-0.01,0.00,-1.93,-0.00,0.59
1660969800,binance,DGBUSDT,0.0000,-0.01,0.00,-1.82,-0.00,0.55
1660969860,binance,DGBUSDT,0.0019,-0.01,0.00,-0.99,-0.00,0.56
1660969920,binance,DGBUSDT,-0.0009,-0.01,0.00,-1.35,-0.00,0.57
1660969980,binance,DGBUSDT,0.0000,-0.01,0.00,-1.30,-0.00,0.57
1660970040,binance,DGBUSDT,0.0000,-0.01,0.00,-1.26,-0.00,0.56
1660970100,binance,DGBUSDT,0.0000,-0.01,0.00,-1.22,-0.00,0.57
1660970160,binance,DGBUSDT,0.0009,-0.01,0.00,-0.83,-0.00,0.52
1660970220,binance,DGBUSDT,0.0000,-0.01,0.00,-0.82,-0.00,0.52
1660970280,binance,DGBUSDT,-0.0009,-0.01,0.00,-1.15,-0.00,0.52
1660970340,binance,DGBUSDT,0.0000,-0.01,0.00,-1.12,-0.00,0.52
1660970400,binance,DGBUSDT,0.0000,-0.01,0.00,-1.09,-0.00,0.52
1660970460,binance,DGBUSDT,0.0009,-0.01,0.00,-0.70,-0.00,0.51
1660970520,binance,DGBUSDT,0.0000,-0.01,0.00,-0.66,-0.00,0.50
1660970580,binance,DGBUSDT,0.0000,-0.01,0.00,-0.63,-0.00,0.50
1660970640,binance,DGBUSDT,0.0000,-0.01,0.00,-0.60,-0.00,0.50
1660970700,binance,DGBUSDT,0.0009,-0.01,0.00,-0.20,0.00,0.49
1660970760,binance,DGBUSDT,0.0000,-0.01,0.00,-0.18,0.00,0.51
1660970820,binance,DGBUSDT,0.0000,-0.01,0.00,-0.13,0.00,0.51
1660970880,binance,DGBUSDT,-0.0009,-0.01,0.00,-0.48,-0.00,0.51
1660970940,binance,DGBUSDT,0.0000,-0.01,0.00,-0.44,-0.00,0.51
1660971000,binance,DGBUSDT,0.0000,-0.01,0.00,-0.40,-0.00,0.51
1660971060,binance,DGBUSDT,0.0009,-0.01,0.00,0.11,0.00,0.50
1660971120,binance,DGBUSDT,0.0000,-0.01,0.00,0.18,0.00,0.50
1660971180,binance,DGBUSDT,0.0000,-0.01,0.00,0.25,0.00,0.49
1660971240,binance,DGBUSDT,0.0000,-0.01,0.00,0.34,0.00,0.49
1660971300,binance,DGBUSDT,0.0000,-0.01,0.00,0.45,0.00,0.50
1660971360,binance,DGBUSDT,0.0028,-0.00,0.01,2.69,0.00,0.60
1660971420,binance,DGBUSDT,0.0065,-0.00,0.01,4.90,0.01,0.70
1660971480,binance,DGBUSDT,0.0019,-0.00,0.01,4.24,0.01,0.69
1660971540,binance,DGBUSDT,-0.0009,-0.00,0.01,3.24,0.01,0.69
1660971600,binance,DGBUSDT,-0.0028,-0.00,0.01,2.16,0.01,0.62
